year,name,playerId,playerSlug,positionId,teamId,status,gamesPlayed,avgMinutes,avgFouls,flagrantFouls,technicalFouls,ejections,doubleDouble,tripleDouble,minutes,rebounds,fouls,avgRebounds,avgPoints,avgFieldGoalsMade,avgFieldGoalsAttempted,fieldGoalPct,avgThreePointFieldGoalsMade,avgThreePointFieldGoalsAttempted,threePointFieldGoalPct,avgFreeThrowsMade,avgFreeThrowsAttempted,freeThrowPct,avgAssists,avgTurnovers,points,fieldGoalsMade,fieldGoalsAttempted,threePointFieldGoalsMade,threePointFieldGoalsAttempted,freeThrowsMade,freeThrowsAttempted,assists,turnovers,avgSteals,avgBlocks,steals,blocks,position,birthdate,college,draftinfo,birthplace,team,experience,rankingSalary,salary,weight,height
2008,Tayshaun Prince,1724,tayshaun-prince,SF,DET,inactive,82.0,32.853657,1.097561,0.0,0.0,0.0,4.0,0.0,2694.0,398.0,90.0,4.8536587,13.170732,5.134146,11.463414,44.7869987487793,0.64634144,1.7804878,36.30136847496033,2.2560976,2.9390244,76.76300048828125,3.2682927,1.1097561,1080.0,421.0,940.0,53.0,146.0,185.0,241.0,268.0,91.0,0.5121951,0.40243903,42.0,33.0,Small Forward,2/28/1980,Kentucky,"2002: Rd 1, Pk 23 (DET)","Compton, CA",,,70,"$9,500,000",,
2009,Tayshaun Prince,1724,tayshaun-prince,SF,DET,inactive,82.0,37.280487,1.2682927,0.0,0.0,0.0,11.0,0.0,3057.0,476.0,104.0,5.804878,14.182927,5.597561,12.439024,45.0,0.68292683,1.7195122,39.716312289237976,2.304878,2.9634147,77.77799987792969,3.0853658,1.2317073,1163.0,459.0,1020.0,56.0,141.0,189.0,243.0,253.0,101.0,0.5365854,0.6219512,44.0,51.0,Small Forward,2/28/1980,Kentucky,"2002: Rd 1, Pk 23 (DET)","Compton, CA",,,57,"$10,324,380",,
2010,Tayshaun Prince,1724,tayshaun-prince,SF,DET,inactive,49.0,33.959183,1.5714285,0.0,0.0,0.0,2.0,0.0,1664.0,248.0,77.0,5.0612245,13.489796,5.755102,11.836735,48.62099838256836,0.5510204,1.4897959,36.986300349235535,1.4285715,2.0,71.42900085449219,3.2857144,1.2244898,661.0,282.0,580.0,27.0,73.0,70.0,98.0,161.0,60.0,0.6938776,0.4489796,34.0,22.0,Small Forward,2/28/1980,Kentucky,"2002: Rd 1, Pk 23 (DET)","Compton, CA",,,49,"$11,148,760",,
2011,Tayshaun Prince,1724,tayshaun-prince,SF,DET,inactive,78.0,32.846153,1.1538461,0.0,2.0,0.0,4.0,0.0,2562.0,329.0,90.0,4.217949,14.076923,6.0641026,12.833333,47.25299835205078,0.43589744,1.2564102,34.69387888908386,1.5128205,2.1538463,70.23799896240234,2.7564104,1.051282,1098.0,473.0,1001.0,34.0,98.0,118.0,168.0,215.0,82.0,0.3846154,0.525641,30.0,41.0,Small Forward,2/28/1980,Kentucky,"2002: Rd 1, Pk 23 (DET)","Compton, CA",,,110,"$6,292,135",,
2012,Tayshaun Prince,1724,tayshaun-prince,SF,DET,inactive,63.0,33.126984,1.2222222,0.0,1.0,0.0,2.0,0.0,2087.0,281.0,77.0,4.4603176,12.666667,5.3333335,12.666667,42.10499954223633,0.5873016,1.6507937,35.576921701431274,1.4126984,1.8253968,77.39099884033203,2.4285715,1.1746032,798.0,336.0,798.0,37.0,104.0,89.0,115.0,153.0,74.0,0.42857143,0.52380955,27.0,33.0,Small Forward,2/28/1980,Kentucky,"2002: Rd 1, Pk 23 (DET)","Compton, CA",,,100,"$6,764,045",,
2013,Tayshaun Prince,1724,tayshaun-prince,SF,MEM,inactive,82.0,32.085365,1.0487804,0.0,0.0,0.0,2.0,0.0,2631.0,364.0,86.0,4.4390244,10.390244,4.378049,10.0,43.77999877929688,0.46341464,1.1463414,40.42553305625916,1.1707317,1.5853659,73.84600067138672,2.390244,1.0853659,852.0,359.0,820.0,38.0,94.0,96.0,130.0,196.0,89.0,0.58536583,0.30487806,48.0,25.0,Small Forward,2/28/1980,Kentucky,"2002: Rd 1, Pk 23 (DET)","Compton, CA",,,89,"$7,235,955",,
2014,Tayshaun Prince,1724,tayshaun-prince,SF,MEM,inactive,76.0,25.631578,0.82894737,0.0,0.0,0.0,0.0,0.0,1948.0,234.0,63.0,3.0789473,5.9736843,2.631579,6.4736843,40.650001525878906,0.2631579,0.90789473,28.98550629615784,0.4473684,0.7894737,56.66699981689454,1.5657895,0.5394737,454.0,200.0,492.0,20.0,69.0,34.0,60.0,119.0,41.0,0.5131579,0.25,39.0,19.0,Small Forward,2/28/1980,Kentucky,"2002: Rd 1, Pk 23 (DET)","Compton, CA",,,83,"$7,707,865",,
2015,Tayshaun Prince,1724,tayshaun-prince,SF,DET,inactive,58.0,24.086206,0.94827586,0.0,0.0,0.0,0.0,0.0,1397.0,210.0,55.0,3.6206896,7.4827585,3.0517242,6.9310346,44.02999877929688,0.5344828,1.1551725,46.268656849861145,0.8448276,1.1206896,75.38500213623047,1.6034483,0.6034483,434.0,177.0,402.0,31.0,67.0,49.0,65.0,93.0,35.0,0.5,0.27586207,29.0,16.0,Small Forward,2/28/1980,Kentucky,"2002: Rd 1, Pk 23 (DET)","Compton, CA",,,381,"$947,276",,
2005,Dan Dickau,1706,dan-dickau,PG,NO,inactive,71.0,29.436619,2.830986,0.0,1.0,0.0,5.0,0.0,2090.0,180.0,201.0,2.5352113,12.492958,4.3098593,10.647887,40.47600173950195,1.1971831,3.4507043,34.69387888908386,2.6760564,3.2112677,83.33300018310547,4.887324,2.0422535,887.0,306.0,756.0,85.0,245.0,190.0,228.0,347.0,145.0,1.0704225,0.056338027,76.0,4.0,Point Guard,9/16/1978,Gonzaga,"2002: Rd 1, Pk 28 (SAC)","Portland, OR",,,234,"$2,255,350",,
2006,Dan Dickau,1706,dan-dickau,PG,BOS,inactive,19.0,12.315789,2.1052632,2.0,1.0,0.0,0.0,0.0,234.0,16.0,40.0,0.84210527,3.2631578,0.8947368,2.4210527,36.95700073242188,0.5263158,1.0526316,50.0,0.94736844,0.94736844,100.0,2.1052632,0.94736844,62.0,17.0,46.0,10.0,20.0,18.0,18.0,40.0,18.0,0.57894737,0.05263158,11.0,1.0,Point Guard,9/16/1978,Gonzaga,"2002: Rd 1, Pk 28 (SAC)","Portland, OR",,,210,"$2,753,218",,
2007,Dan Dickau,1706,dan-dickau,PG,POR,inactive,50.0,8.88,1.1,0.0,0.0,0.0,0.0,0.0,444.0,43.0,55.0,0.86,3.32,1.08,3.02,35.762001037597656,0.32,1.22,26.229506731033325,0.84,1.06,79.24500274658203,1.4,0.54,166.0,54.0,151.0,16.0,61.0,42.0,53.0,70.0,27.0,0.28,0.02,14.0,1.0,Point Guard,9/16/1978,Gonzaga,"2002: Rd 1, Pk 28 (SAC)","Portland, OR",,,372,"$770,610",,
2008,Dan Dickau,1706,dan-dickau,PG,LAC,inactive,67.0,15.522388,1.6119403,0.0,0.0,0.0,0.0,0.0,1040.0,97.0,108.0,1.4477612,5.2537313,1.8507463,4.4179106,41.891998291015625,0.53731346,1.6119403,33.33333432674408,1.0149254,1.2238806,82.927001953125,2.5671642,0.8208955,352.0,124.0,296.0,36.0,108.0,68.0,82.0,172.0,55.0,0.47761193,0.04477612,32.0,3.0,Point Guard,9/16/1978,Gonzaga,"2002: Rd 1, Pk 28 (SAC)","Portland, OR",,,379,"$797,581",,
2005,Jannero Pargo,1821,jannero-pargo,PG,CHI,inactive,32.0,14.15625,1.65625,0.0,0.0,0.0,0.0,0.0,453.0,47.0,53.0,1.46875,6.375,2.5625,6.65625,38.49800109863281,0.71875,2.0625,34.84848439693451,0.53125,0.71875,73.91300201416016,2.375,1.40625,204.0,82.0,213.0,23.0,66.0,17.0,23.0,76.0,45.0,0.5,0.03125,16.0,1.0,Point Guard,10/22/1979,Arkansas,,"Chicago, IL",,,341,"$895,248",,
2006,Jannero Pargo,1821,jannero-pargo,PG,CHI,inactive,57.0,11.333333,1.0,0.0,0.0,0.0,0.0,0.0,646.0,61.0,57.0,1.0701754,4.8070173,1.9122807,5.122807,37.32899856567383,0.68421054,1.8070176,37.86407709121704,0.2982456,0.36842105,80.9520034790039,1.6491228,1.0701754,274.0,109.0,292.0,39.0,103.0,17.0,21.0,94.0,61.0,0.42105263,0.03508772,24.0,2.0,Point Guard,10/22/1979,Arkansas,,"Chicago, IL",,,335,"$1,000,000",,
2007,Jannero Pargo,1821,jannero-pargo,PG,NO,inactive,82.0,20.853659,1.4756098,0.0,0.0,0.0,1.0,0.0,1710.0,180.0,121.0,2.195122,9.158537,3.4512196,8.439024,40.89599990844727,0.9878049,2.5487804,38.75598013401032,1.2682927,1.4878049,85.24600219726562,2.4756098,1.4878049,751.0,283.0,692.0,81.0,209.0,104.0,122.0,203.0,122.0,0.64634144,0.048780486,53.0,4.0,Point Guard,10/22/1979,Arkansas,,"Chicago, IL",,,270,"$1,830,000",,
2010,Jannero Pargo,1821,jannero-pargo,PG,CHI,inactive,63.0,13.1587305,1.0793651,0.0,1.0,0.0,0.0,0.0,829.0,78.0,68.0,1.2380953,5.4603176,2.0952382,6.047619,34.645999908447266,0.6031746,2.1904762,27.53623127937317,0.6666667,0.71428573,93.33300018310548,1.4126984,0.7936508,344.0,132.0,381.0,38.0,138.0,42.0,45.0,89.0,50.0,0.46031746,0.031746034,29.0,2.0,Point Guard,10/22/1979,Arkansas,,"Chicago, IL",,,521,"$168,579",,
2013,Jannero Pargo,1821,jannero-pargo,PG,CHA,inactive,32.0,15.84375,1.3125,0.0,0.0,0.0,0.0,0.0,507.0,35.0,42.0,1.09375,6.46875,2.4375,6.625,36.79199981689453,1.21875,3.625,33.62068831920624,0.375,0.40625,92.30799865722656,2.09375,1.28125,207.0,78.0,212.0,39.0,116.0,12.0,13.0,67.0,41.0,0.5625,0.09375,18.0,3.0,Point Guard,10/22/1979,Arkansas,,"Chicago, IL",,,318,"$884,293",,
2014,Jannero Pargo,1821,jannero-pargo,PG,CHA,inactive,29.0,8.344828,0.5862069,0.0,0.0,0.0,0.0,0.0,242.0,20.0,17.0,0.6896552,4.6896553,1.7931035,4.0689654,44.06800079345703,0.82758623,2.0689654,40.00000059604645,0.27586207,0.37931034,72.72699737548828,1.7931035,0.8965517,136.0,52.0,118.0,24.0,60.0,8.0,11.0,52.0,26.0,0.4827586,0.03448276,14.0,1.0,Point Guard,10/22/1979,Arkansas,,"Chicago, IL",,,359,"$915,243",,
2005,Devin Brown,1858,devin-brown,SG,SA,inactive,67.0,18.477612,1.238806,0.0,0.0,0.0,0.0,0.0,1238.0,176.0,83.0,2.6268656,7.373134,2.5820897,6.1044774,42.29800033569336,0.67164177,1.8059702,37.19008266925812,1.5373135,1.9402986,79.23100280761719,1.3731344,0.7910448,494.0,173.0,409.0,45.0,121.0,103.0,130.0,92.0,53.0,0.58208954,0.17910448,39.0,12.0,Shooting Guard,12/30/1978,UTSA,,"Salt Lake City, UT",,,276,"$1,592,400",,
2006,Devin Brown,1858,devin-brown,SG,UTAH,inactive,81.0,21.123457,1.8888888,0.0,1.0,0.0,0.0,0.0,1711.0,207.0,153.0,2.5555556,7.54321,2.5555556,6.5061727,39.27899932861328,0.4814815,1.4567901,33.05084705352783,1.9506173,2.617284,74.52799987792969,1.2839506,1.2222222,611.0,207.0,527.0,39.0,118.0,158.0,212.0,104.0,99.0,0.54320985,0.17283951,44.0,14.0,Shooting Guard,12/30/1978,UTSA,,"Salt Lake City, UT",,,422,"$516,806",,
2007,Devin Brown,1858,devin-brown,SG,NO,inactive,58.0,28.655172,2.3965516,1.0,1.0,0.0,2.0,0.0,1662.0,251.0,139.0,4.327586,11.551724,4.0172415,9.568966,41.98199844360352,1.3965517,3.913793,35.68281829357147,2.1206896,2.6724138,79.3550033569336,2.5689654,1.5689656,670.0,233.0,555.0,81.0,227.0,123.0,155.0,149.0,91.0,0.7586207,0.15517241,44.0,9.0,Shooting Guard,12/30/1978,UTSA,,"Salt Lake City, UT",,,317,"$1,200,000",,
2008,Devin Brown,1858,devin-brown,SG,CLE,inactive,78.0,22.589743,1.8461539,0.0,1.0,0.0,2.0,0.0,1762.0,263.0,144.0,3.371795,7.5128207,2.7820513,6.8076925,40.86600112915039,0.5769231,1.8717948,30.821916460990906,1.3717948,1.8205128,75.35199737548828,2.2435896,1.2692307,586.0,217.0,531.0,45.0,146.0,107.0,142.0,175.0,99.0,0.6666667,0.08974359,52.0,7.0,Shooting Guard,12/30/1978,UTSA,,"Salt Lake City, UT",,,343,"$998,398",,
2009,Devin Brown,1858,devin-brown,SG,NO,inactive,63.0,13.793651,1.2857143,1.0,0.0,0.0,0.0,0.0,869.0,119.0,81.0,1.8888888,5.2063494,1.7619047,4.968254,35.4630012512207,0.44444445,1.5396825,28.865978121757507,1.2380953,1.5873016,78.0,0.85714287,0.85714287,328.0,111.0,313.0,28.0,97.0,78.0,100.0,54.0,54.0,0.50793654,0.07936508,32.0,5.0,Shooting Guard,12/30/1978,UTSA,,"Salt Lake City, UT",,,322,"$1,107,572",,
2005,John Salmons,1726,john-salmons,SF,PHI,inactive,58.0,17.12069,1.5862069,0.0,0.0,0.0,0.0,0.0,993.0,121.0,92.0,2.086207,4.0689654,1.4655173,3.6206896,40.47600173950195,0.5344828,1.5689656,34.065935015678406,0.6034483,0.82758623,72.91699981689453,1.9655173,0.87931037,236.0,85.0,210.0,31.0,91.0,35.0,48.0,114.0,51.0,0.6896552,0.22413793,40.0,13.0,Small Forward,12/12/1979,Miami,"2002: Rd 1, Pk 26 (SA)","Philadelphia, PA",,,264,"$1,699,001",,
2006,John Salmons,1726,john-salmons,SF,PHI,inactive,82.0,25.109756,2.1707318,0.0,0.0,0.0,3.0,0.0,2059.0,220.0,178.0,2.682927,7.5487804,2.6707318,6.3536587,42.03499984741211,0.31707317,1.0609756,29.8850566148758,1.8902439,2.4390244,77.5,2.7195122,1.5243902,619.0,219.0,521.0,26.0,87.0,155.0,200.0,223.0,125.0,0.8902439,0.15853658,73.0,13.0,Small Forward,12/12/1979,Miami,"2002: Rd 1, Pk 26 (SA)","Philadelphia, PA",,,143,"$4,400,000",,
2007,John Salmons,1726,john-salmons,SF,SAC,inactive,79.0,27.025316,2.2405064,0.0,0.0,0.0,2.0,1.0,2135.0,264.0,177.0,3.341772,8.49367,2.987342,6.544304,45.64799880981445,0.5063291,1.4177215,35.71428656578064,2.012658,2.5822785,77.94100189208984,3.21519,1.506329,671.0,236.0,517.0,40.0,112.0,159.0,204.0,254.0,119.0,0.9240506,0.34177214,73.0,27.0,Small Forward,12/12/1979,Miami,"2002: Rd 1, Pk 26 (SA)","Philadelphia, PA",,,142,"$4,752,000",,
2008,John Salmons,1726,john-salmons,SF,SAC,inactive,81.0,31.074074,2.1111112,0.0,1.0,0.0,6.0,0.0,2517.0,349.0,171.0,4.308642,12.530864,4.703704,9.864198,47.685001373291016,0.4814815,1.4814814,32.499998807907104,2.6419754,3.2098765,82.30799865722656,2.5679011,2.0987654,1015.0,381.0,799.0,39.0,120.0,214.0,260.0,208.0,170.0,1.1481482,0.38271606,93.0,31.0,Small Forward,12/12/1979,Miami,"2002: Rd 1, Pk 26 (SA)","Philadelphia, PA",,,124,"$6,077,151",,
2009,John Salmons,1726,john-salmons,SF,CHI,inactive,79.0,37.455696,2.3037975,0.0,3.0,0.0,3.0,0.0,2959.0,333.0,182.0,4.21519,18.303797,6.531646,13.8354435,47.209999084472656,1.5949367,3.822785,41.721853613853455,3.6455696,4.392405,82.99700164794922,3.1518986,2.0886075,1446.0,516.0,1093.0,126.0,302.0,288.0,347.0,249.0,165.0,1.050633,0.30379745,83.0,24.0,Small Forward,12/12/1979,Miami,"2002: Rd 1, Pk 26 (SA)","Philadelphia, PA",,,113,"$6,429,151",,
2010,John Salmons,1726,john-salmons,SF,MIL,inactive,81.0,34.864197,2.0493827,0.0,2.0,0.0,0.0,0.0,2824.0,270.0,166.0,3.3333333,15.37037,5.3950615,12.234568,44.09700012207031,1.4567901,3.8148148,38.18770349025726,3.1234567,3.7654321,82.95099639892578,2.7530863,1.5185186,1245.0,437.0,991.0,118.0,309.0,253.0,305.0,223.0,123.0,1.2222222,0.32098764,99.0,26.0,Small Forward,12/12/1979,Miami,"2002: Rd 1, Pk 26 (SA)","Philadelphia, PA",,,81,"$8,000,000",,
2011,John Salmons,1726,john-salmons,SF,MIL,inactive,73.0,34.9863,2.1506848,0.0,8.0,0.0,1.0,0.0,2554.0,266.0,157.0,3.6438355,14.027397,5.109589,12.30137,41.5369987487793,1.1369863,3.0,37.89954483509064,2.671233,3.2876713,81.25,3.4520547,1.8767123,1024.0,373.0,898.0,83.0,219.0,195.0,240.0,252.0,137.0,0.98630136,0.38356164,72.0,28.0,Small Forward,12/12/1979,Miami,"2002: Rd 1, Pk 26 (SA)","Philadelphia, PA",,,71,"$8,083,000",,
2013,John Salmons,1726,john-salmons,SF,SAC,inactive,76.0,29.973684,1.8815789,0.0,1.0,0.0,1.0,0.0,2278.0,207.0,143.0,2.7236843,8.842105,3.2105262,8.052631,39.86899948120117,1.3026316,3.5131578,37.078651785850525,1.1184211,1.4473684,77.27300262451172,2.9736843,1.1184211,672.0,244.0,612.0,99.0,267.0,85.0,110.0,226.0,85.0,0.67105263,0.32894737,51.0,25.0,Small Forward,12/12/1979,Miami,"2002: Rd 1, Pk 26 (SA)","Philadelphia, PA",,,82,"$7,583,000",,
2014,John Salmons,1726,john-salmons,SF,TOR,inactive,78.0,22.128204,1.5897436,0.0,1.0,0.0,0.0,0.0,1726.0,163.0,124.0,2.0897436,5.1666665,1.9230769,5.294872,36.31999969482422,0.8076923,2.0897436,38.650307059288025,0.51282054,0.6666667,76.9229965209961,1.8846154,0.6923077,403.0,150.0,413.0,63.0,163.0,40.0,52.0,147.0,54.0,0.6025641,0.24358974,47.0,19.0,Small Forward,12/12/1979,Miami,"2002: Rd 1, Pk 26 (SA)","Philadelphia, PA",,,269,"$2,000,000",,
2007,Maceo Baston,44,maceo-baston,SF,IND,inactive,47.0,8.617022,1.3829787,0.0,0.0,0.0,0.0,0.0,405.0,74.0,65.0,1.5744681,2.93617,1.0425532,1.6170213,64.4739990234375,0.06382979,0.14893617,42.85714328289032,0.78723407,1.0,78.7229995727539,0.34042552,0.68085104,138.0,49.0,76.0,3.0,7.0,37.0,47.0,16.0,32.0,0.25531915,0.38297874,12.0,18.0,Small Forward,5/26/1976,Michigan,"1998: Rd 2, Pk 58 (CHI)","Corsicana, TX",,,272,"$1,830,000",,
2008,Maceo Baston,44,maceo-baston,SF,TOR,inactive,15.0,6.866667,1.3333334,0.0,0.0,0.0,0.0,0.0,103.0,26.0,20.0,1.7333333,2.7333333,1.1333333,1.6666666,68.0,0.0,0.0,0.0,0.46666667,0.6666667,70.0,0.2,0.26666668,41.0,17.0,25.0,0.0,0.0,7.0,10.0,3.0,4.0,0.13333334,0.26666668,2.0,4.0,Small Forward,5/26/1976,Michigan,"1998: Rd 2, Pk 58 (CHI)","Corsicana, TX",,,250,"$2,272,860",,
2005,Jiri Welsch,1730,jiri-welsch,GF,CLE,inactive,71.0,18.549295,1.7042253,0.0,0.0,0.0,0.0,0.0,1317.0,167.0,121.0,2.3521128,6.4929576,2.0985916,5.2253523,40.1619987487793,0.47887325,1.5492958,30.90909123420716,1.8169014,2.3802817,76.33100128173828,1.4507042,1.028169,461.0,149.0,371.0,34.0,110.0,129.0,169.0,103.0,73.0,0.6197183,0.07042254,44.0,5.0,Guard-Forward,1/27/1980,,"2002: Rd 1, Pk 16 (PHI)","Czech Budweis, Czech Republic",,,237,"$2,177,114",,
2005,Qyntel Woods,1734,qyntel-woods,SF,MIA,inactive,3.0,13.333333,2.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,6.0,2.0,3.3333333,1.6666666,4.0,41.66699981689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,10.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3333334,0.0,4.0,0.0,Small Forward,2/16/1981,,"2002: Rd 1, Pk 21 (POR)","Memphis, TN",,,363,"$745,248",,
2005,Fred Jones,1718,fred-jones,SG,IND,inactive,77.0,29.454546,2.2207792,1.0,0.0,0.0,1.0,0.0,2268.0,242.0,171.0,3.142857,10.558441,3.5714285,8.402597,42.50400161743164,1.1298702,2.974026,37.99126744270325,2.2857144,2.6883116,85.02400207519531,2.5454545,1.4805195,813.0,275.0,647.0,87.0,229.0,176.0,207.0,196.0,114.0,0.7922078,0.4025974,61.0,31.0,Shooting Guard,3/11/1979,Oregon,"2002: Rd 1, Pk 14 (IND)","Malvern, AR",,,231,"$2,328,843",,
2006,Fred Jones,1718,fred-jones,SG,IND,inactive,68.0,27.014706,2.0882354,0.0,0.0,0.0,0.0,0.0,1837.0,170.0,142.0,2.5,9.573529,3.4264705,8.220589,41.68199920654297,0.9264706,2.75,33.68983864784241,1.7941177,2.3529413,76.25,2.264706,1.5735294,651.0,233.0,559.0,63.0,187.0,122.0,160.0,154.0,107.0,0.8088235,0.29411766,55.0,20.0,Shooting Guard,3/11/1979,Oregon,"2002: Rd 1, Pk 14 (IND)","Malvern, AR",,,192,"$3,100,000",,
2007,Fred Jones,1718,fred-jones,SG,POR,inactive,63.0,20.936508,1.9206349,0.0,0.0,0.0,0.0,0.0,1319.0,115.0,121.0,1.8253968,6.5396824,2.2063491,5.730159,38.50400161743164,0.61904764,2.0317461,30.46875,1.5079365,1.8095238,83.33300018310547,1.7142857,1.0634921,412.0,139.0,361.0,39.0,128.0,95.0,114.0,108.0,67.0,0.7619048,0.25396827,48.0,16.0,Shooting Guard,3/11/1979,Oregon,"2002: Rd 1, Pk 14 (IND)","Malvern, AR",,,190,"$3,300,000",,
2008,Fred Jones,1718,fred-jones,SG,NY,inactive,70.0,25.1,2.0,0.0,0.0,0.0,0.0,0.0,1757.0,170.0,140.0,2.4285715,7.6,2.6,6.1714287,42.130001068115234,1.0571429,2.7428572,38.54166567325592,1.3428571,1.8,74.60299682617188,2.3714285,1.1142857,532.0,182.0,432.0,74.0,192.0,94.0,126.0,166.0,78.0,0.6857143,0.25714287,48.0,18.0,Shooting Guard,3/11/1979,Oregon,"2002: Rd 1, Pk 14 (IND)","Malvern, AR",,,450,"$459,782",,
2005,Bostjan Nachbar,1723,bostjan-nachbar,SF,NO,inactive,71.0,18.887323,2.5774648,0.0,1.0,0.0,0.0,0.0,1341.0,182.0,183.0,2.5633802,6.9577465,2.2676055,5.7887325,39.17300033569336,1.0563381,2.7605634,38.26530575752258,1.3661972,1.6478873,82.90599822998047,1.0422535,1.028169,494.0,161.0,411.0,75.0,196.0,97.0,117.0,74.0,73.0,0.4084507,0.22535211,29.0,16.0,Small Forward,7/3/1980,,"2002: Rd 1, Pk 15 (HOU)",Yugoslavia,,,216,"$2,500,000",,
2006,Bostjan Nachbar,1723,bostjan-nachbar,SF,NJ,inactive,36.0,13.944445,1.8055556,0.0,1.0,0.0,0.0,0.0,502.0,60.0,65.0,1.6666666,4.361111,1.5,4.3333335,34.6150016784668,0.5277778,1.9722222,26.760563254356384,0.8333333,1.2222222,68.18199920654297,0.75,0.6666667,157.0,54.0,156.0,19.0,71.0,30.0,44.0,27.0,24.0,0.44444445,0.1388889,16.0,5.0,Small Forward,7/3/1980,,"2002: Rd 1, Pk 15 (HOU)",Yugoslavia,,,228,"$2,500,000",,
2007,Bostjan Nachbar,1723,bostjan-nachbar,SF,NJ,inactive,76.0,20.157894,2.4078948,0.0,4.0,0.0,1.0,0.0,1532.0,253.0,183.0,3.3289473,9.157895,2.9736843,6.513158,45.65700149536133,1.4736842,3.4868422,42.26415157318115,1.7368422,2.1578948,80.48799896240234,0.80263156,0.90789473,696.0,226.0,495.0,112.0,265.0,132.0,164.0,61.0,69.0,0.39473686,0.34210527,30.0,26.0,Small Forward,7/3/1980,,"2002: Rd 1, Pk 15 (HOU)",Yugoslavia,,,227,"$2,500,000",,
2005,Ronald Murray,1777,ronald-murray,SG,SEA,inactive,49.0,18.020409,1.2040817,0.0,0.0,0.0,0.0,0.0,883.0,98.0,59.0,2.0,7.0408163,2.6734693,7.408163,36.0880012512207,0.48979592,1.9387755,25.26315748691559,1.2040817,1.6326531,73.75,1.3265306,1.1632653,345.0,131.0,363.0,24.0,95.0,59.0,80.0,65.0,57.0,0.6122449,0.2244898,30.0,11.0,Shooting Guard,7/29/1979,Shaw,"2002: Rd 2, Pk 42 (MIL)","Philadelphia, PA",,,342,"$895,248",,
2006,Ronald Murray,1777,ronald-murray,SG,CLE,inactive,76.0,27.789474,1.75,0.0,0.0,0.0,0.0,0.0,2112.0,153.0,133.0,2.0131578,11.197369,4.2236843,10.105263,41.797000885009766,0.4868421,1.8552631,26.241135597229004,2.2631578,3.1842105,71.0739974975586,2.5921052,1.7763158,851.0,321.0,768.0,37.0,141.0,172.0,242.0,197.0,135.0,0.8947368,0.14473684,68.0,11.0,Shooting Guard,7/29/1979,Shaw,"2002: Rd 2, Pk 42 (MIL)","Philadelphia, PA",,,272,"$1,750,000",,
2007,Ronald Murray,1777,ronald-murray,SG,DET,inactive,69.0,21.405798,1.3913044,0.0,1.0,0.0,1.0,0.0,1477.0,113.0,96.0,1.6376811,6.7391305,2.5652175,6.347826,40.4109992980957,0.3478261,1.2028985,28.91566157341004,1.2608696,1.7391304,72.5,2.710145,1.3043479,465.0,177.0,438.0,24.0,83.0,87.0,120.0,187.0,90.0,0.71014494,0.1884058,49.0,13.0,Shooting Guard,7/29/1979,Shaw,"2002: Rd 2, Pk 42 (MIL)","Philadelphia, PA",,,469,"$213,051",,
2008,Ronald Murray,1777,ronald-murray,SG,IND,inactive,42.0,20.809525,1.1904762,0.0,0.0,0.0,2.0,0.0,874.0,83.0,50.0,1.9761904,9.428572,3.6666667,8.738095,41.96200180053711,0.47619048,1.5,31.74603283405304,1.6190476,2.3333333,69.38800048828125,3.4285715,2.0,396.0,154.0,367.0,20.0,63.0,68.0,98.0,144.0,84.0,0.9047619,0.0952381,38.0,4.0,Shooting Guard,7/29/1979,Shaw,"2002: Rd 2, Pk 42 (MIL)","Philadelphia, PA",,,300,"$1,500,000",,
2009,Ronald Murray,1777,ronald-murray,SG,ATL,inactive,80.0,24.6875,2.1625,0.0,1.0,0.0,0.0,0.0,1975.0,168.0,173.0,2.1,12.175,4.4375,9.9375,44.65399932861328,1.0875,3.025,35.95041334629059,2.2125,2.9125,75.96600341796875,1.975,1.6,974.0,355.0,795.0,87.0,242.0,177.0,233.0,158.0,128.0,1.1,0.2125,88.0,17.0,Shooting Guard,7/29/1979,Shaw,"2002: Rd 2, Pk 42 (MIL)","Philadelphia, PA",,,264,"$1,990,000",,
2005,Jamal Sampson,1780,jamal-sampson,C,CHA,inactive,23.0,14.304348,2.3043478,0.0,2.0,0.0,0.0,0.0,329.0,122.0,53.0,5.304348,3.4347825,1.2173913,2.6956522,45.1609992980957,0.0,0.0,0.0,1.0,1.6956521,58.97399902343749,0.3478261,0.73913044,79.0,28.0,62.0,0.0,0.0,23.0,39.0,8.0,17.0,0.17391305,0.73913044,4.0,17.0,Center,5/15/1983,California,"2002: Rd 2, Pk 47 (UTAH)","Inglewood, CA",,,381,"$719,373",,
2006,Jamal Sampson,1780,jamal-sampson,C,SAC,inactive,12.0,3.25,0.41666666,0.0,0.0,0.0,0.0,0.0,39.0,18.0,5.0,1.5,0.8333333,0.41666666,0.5833333,71.42900085449219,0.0,0.0,0.0,0.0,0.16666667,0.0,0.41666666,0.0,10.0,5.0,7.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.33333334,0.0,4.0,Center,5/15/1983,California,"2002: Rd 2, Pk 47 (UTAH)","Inglewood, CA",,,358,"$774,551",,
